comment_clean,comment,auto_label,confidence,label_filtered,rating,source
"hình ảnh đẹp, sắc nét, âm thanh sống động, y mô tả","Hình ảnh đẹp, sắc nét, âm thanh sống động, y mô tả",POS,0.992932081,POS,5,thegioididong
"màn hình sắc nét, âm thanh rõ, lắp ráp đơn giản. shop giao hàng nhanh, nhân viên nhiệt tình, tư vấn và chăm sóc kh trước và sau mua rất chuyên nghiệp. cảm ơn shop","Màn hình sắc nét, âm thanh rõ, lắp ráp đơn giản. Shop giao hàng nhanh, nhân viên nhiệt tình, tư vấn và chăm sóc KH trước và sau mua rất chuyên nghiệp. Cảm ơn shop",POS,0.992666304,POS,5,thegioididong
"giao hàng nhanh, dễ lắp đặt, thao tác nhanh chóng nhânn viên hỗ trợ nhiệt tình","Giao hàng nhanh, dễ lắp đặt, thao tác nhanh chóng nhânn viên hỗ trợ nhiệt tình",POS,0.992441297,POS,5,thegioididong
tivi nhiều chức năng to đẹp rất hợp lý,Tivi nhiều chức năng to đẹp rất hợp lý,POS,0.992868721,POS,5,thegioididong
săn sale mua tv cho mẹ mình vì mua 1 cái trước thấy ưng. tv to xem siêu đã nha.,Săn sale mua tv cho mẹ mình vì mua 1 cái trước thấy ưng. TV to xem siêu đã nha.,POS,0.992941618,POS,5,thegioididong
"giao hàng nhanh, cẩn thận , giá cả hợp lý, cần trải nghiệm mới biết bền hay k,","Giao hàng nhanh, cẩn thận , giá cả hợp lý, cần trải nghiệm mới biết bền hay k,",POS,0.990542948,POS,5,thegioididong
"sản phẩm rất tốt ,xem nét căng nếu xem bóng đá châu âu chiếu trên 4k thì cực nét luôn","Sản phẩm rất tốt ,xem nét căng nếu xem bóng đá châu âu chiếu trên 4k thì cực nét luôn",POS,0.992851496,POS,5,thegioididong
"giao hàng đóng gói cẩn thận, tivi màn hình rất đẹp, mỏng , nhẹ.","Giao hàng đóng gói cẩn thận, tivi màn hình rất đẹp, mỏng , nhẹ.",POS,0.992530286,POS,5,thegioididong
"chất âm quá ok,màn hình đẹp đáng tiềnn","Chất âm quá ok,màn hình đẹp đáng tiềnn",POS,0.992945135,POS,5,thegioididong
hàng cực kỳ tuyệt vời . giá rata ok luôn ủng hộ hisense,Hàng cực kỳ tuyệt vời . Giá rata ok luôn ủng hộ hisense,POS,0.992914438,POS,5,thegioididong
"tv xài ok nhé mn. đong gói chắc chắn, giao hang nhanh. giá cũng ok","TV xài OK nhé mn. Đong gói chắc chắn, giao hang nhanh. Giá cũng OK",POS,0.992561162,POS,5,thegioididong
